date,value_etf,ticker,field
2022-11-08,72.7,XLP US Equity,close
2022-11-08,0.0029,XLP US Equity,daily_return
2022-11-08,36.4,XLRE US Equity,close
2022-11-08,0.0061,XLRE US Equity,daily_return
2022-11-08,66.27,XLU US Equity,close
2022-11-08,0.007,XLU US Equity,daily_return
2022-11-08,132.87,XLV US Equity,close
2022-11-08,0.005,XLV US Equity,daily_return
2022-11-08,136.2,XLY US Equity,close
2022-11-08,-0.0025,XLY US Equity,daily_return
2022-11-09,76.07,XLB US Equity,close
2022-11-09,-0.0162,XLB US Equity,daily_return
2022-11-09,45.96,XLC US Equity,close
2022-11-09,-0.0135,XLC US Equity,daily_return
2022-11-09,88.53,XLE US Equity,close
2022-11-09,-0.0489,XLE US Equity,daily_return
2022-11-09,33.87,XLF US Equity,close
2022-11-09,-0.0168,XLF US Equity,daily_return
2022-11-09,95.58,XLI US Equity,close
2022-11-09,-0.0139,XLI US Equity,daily_return
2022-11-09,120.96,XLK US Equity,close
2022-11-09,-0.026,XLK US Equity,daily_return
2022-11-09,71.91,XLP US Equity,close
2022-11-09,-0.0109,XLP US Equity,daily_return
2022-11-09,36.0,XLRE US Equity,close
2022-11-09,-0.011,XLRE US Equity,daily_return
2022-11-09,65.75,XLU US Equity,close
2022-11-09,-0.0078,XLU US Equity,daily_return
2022-11-09,131.44,XLV US Equity,close
2022-11-09,-0.0108,XLV US Equity,daily_return
2022-11-09,132.04,XLY US Equity,close
2022-11-09,-0.0305,XLY US Equity,daily_return
2022-11-10,80.28,XLB US Equity,close
2022-11-10,0.0553,XLB US Equity,daily_return
2022-11-10,48.74,XLC US Equity,close
2022-11-10,0.0605,XLC US Equity,daily_return
2022-11-10,90.5,XLE US Equity,close
2022-11-10,0.0223,XLE US Equity,daily_return
2022-11-10,35.58,XLF US Equity,close
2022-11-10,0.0505,XLF US Equity,daily_return
2022-11-10,99.59,XLI US Equity,close
2022-11-10,0.042,XLI US Equity,daily_return
2022-11-10,130.9,XLK US Equity,close
2022-11-10,0.0822,XLK US Equity,daily_return
2022-11-10,73.6,XLP US Equity,close
2022-11-10,0.0235,XLP US Equity,daily_return
2022-11-10,38.76,XLRE US Equity,close
2022-11-10,0.0767,XLRE US Equity,daily_return
2022-11-10,68.85,XLU US Equity,close
2022-11-10,0.0471,XLU US Equity,daily_return
2022-11-10,134.78,XLV US Equity,close
2022-11-10,0.0254,XLV US Equity,daily_return
2022-11-10,141.69,XLY US Equity,close
2022-11-10,0.0731,XLY US Equity,daily_return
2022-11-11,81.25,XLB US Equity,close
2022-11-11,0.0121,XLB US Equity,daily_return
2022-11-11,50.02,XLC US Equity,close
2022-11-11,0.0263,XLC US Equity,daily_return
2022-11-11,93.13,XLE US Equity,close
2022-11-11,0.0291,XLE US Equity,daily_return
2022-11-11,35.87,XLF US Equity,close
2022-11-11,0.0082,XLF US Equity,daily_return
2022-11-11,99.53,XLI US Equity,close
2022-11-11,-0.0006,XLI US Equity,daily_return
2022-11-11,133.14,XLK US Equity,close
2022-11-11,0.0171,XLK US Equity,daily_return
2022-11-11,73.52,XLP US Equity,close
2022-11-11,-0.0011,XLP US Equity,daily_return
2022-11-11,38.74,XLRE US Equity,close
2022-11-11,-0.0005,XLRE US Equity,daily_return
2022-11-11,68.08,XLU US Equity,close
2022-11-11,-0.0112,XLU US Equity,daily_return
2022-11-11,133.13,XLV US Equity,close
2022-11-11,-0.0122,XLV US Equity,daily_return
2022-11-11,145.09,XLY US Equity,close
2022-11-11,0.024,XLY US Equity,daily_return
2022-11-14,81.14,XLB US Equity,close
2022-11-14,-0.0014,XLB US Equity,daily_return
2022-11-14,49.82,XLC US Equity,close
2022-11-14,-0.004,XLC US Equity,daily_return
2022-11-14,93.1,XLE US Equity,close
2022-11-14,-0.0003,XLE US Equity,daily_return
2022-11-14,35.36,XLF US Equity,close
2022-11-14,-0.0142,XLF US Equity,daily_return
2022-11-14,98.92,XLI US Equity,close
2022-11-14,-0.0061,XLI US Equity,daily_return
2022-11-14,132.0,XLK US Equity,close
2022-11-14,-0.0086,XLK US Equity,daily_return
2022-11-14,72.94,XLP US Equity,close
2022-11-14,-0.0079,XLP US Equity,daily_return
2022-11-14,37.71,XLRE US Equity,close
2022-11-14,-0.0266,XLRE US Equity,daily_return
2022-11-14,67.27,XLU US Equity,close
2022-11-14,-0.0119,XLU US Equity,daily_return
2022-11-14,133.25,XLV US Equity,close
2022-11-14,0.0009,XLV US Equity,daily_return
2022-11-14,142.79,XLY US Equity,close
2022-11-14,-0.0159,XLY US Equity,daily_return
2022-11-15,81.02,XLB US Equity,close
2022-11-15,-0.0015,XLB US Equity,daily_return
2022-11-15,50.56,XLC US Equity,close
2022-11-15,0.0149,XLC US Equity,daily_return
2022-11-15,94.08,XLE US Equity,close
2022-11-15,0.0105,XLE US Equity,daily_return
2022-11-15,35.44,XLF US Equity,close
2022-11-15,0.0023,XLF US Equity,daily_return
2022-11-15,99.6,XLI US Equity,close
2022-11-15,0.0069,XLI US Equity,daily_return
2022-11-15,133.6,XLK US Equity,close
2022-11-15,0.0121,XLK US Equity,daily_return
2022-11-15,73.55,XLP US Equity,close
2022-11-15,0.0084,XLP US Equity,daily_return
2022-11-15,38.18,XLRE US Equity,close
2022-11-15,0.0125,XLRE US Equity,daily_return
2022-11-15,68.01,XLU US Equity,close
2022-11-15,0.011,XLU US Equity,daily_return
2022-11-15,133.08,XLV US Equity,close
2022-11-15,-0.0013,XLV US Equity,daily_return
2022-11-15,144.74,XLY US Equity,close
2022-11-15,0.0137,XLY US Equity,daily_return
2022-11-16,80.23,XLB US Equity,close
2022-11-16,-0.0098,XLB US Equity,daily_return
2022-11-16,50.06,XLC US Equity,close
2022-11-16,-0.0099,XLC US Equity,daily_return
2022-11-16,92.16,XLE US Equity,close
2022-11-16,-0.0204,XLE US Equity,daily_return
2022-11-16,35.27,XLF US Equity,close
2022-11-16,-0.0048,XLF US Equity,daily_return
2022-11-16,98.88,XLI US Equity,close
2022-11-16,-0.0072,XLI US Equity,daily_return
2022-11-16,131.77,XLK US Equity,close
2022-11-16,-0.0137,XLK US Equity,daily_return
2022-11-16,73.91,XLP US Equity,close
2022-11-16,0.0049,XLP US Equity,daily_return
2022-11-16,37.91,XLRE US Equity,close
2022-11-16,-0.0071,XLRE US Equity,daily_return
2022-11-16,68.62,XLU US Equity,close
2022-11-16,0.009,XLU US Equity,daily_return
2022-11-16,133.02,XLV US Equity,close
2022-11-16,-0.0005,XLV US Equity,daily_return
2022-11-16,142.53,XLY US Equity,close
2022-11-16,-0.0153,XLY US Equity,daily_return
2022-11-17,79.46,XLB US Equity,close
2022-11-17,-0.0096,XLB US Equity,daily_return
2022-11-17,49.68,XLC US Equity,close
2022-11-17,-0.0076,XLC US Equity,daily_return
2022-11-17,92.36,XLE US Equity,close
2022-11-17,0.0022,XLE US Equity,daily_return
2022-11-17,35.08,XLF US Equity,close
2022-11-17,-0.0054,XLF US Equity,daily_return
2022-11-17,98.71,XLI US Equity,close
2022-11-17,-0.0017,XLI US Equity,daily_return
2022-11-17,131.94,XLK US Equity,close
2022-11-17,0.0013,XLK US Equity,daily_return
2022-11-17,73.89,XLP US Equity,close
2022-11-17,-0.0003,XLP US Equity,daily_return
2022-11-17,37.57,XLRE US Equity,close
2022-11-17,-0.009,XLRE US Equity,daily_return
2022-11-17,67.42,XLU US Equity,close
2022-11-17,-0.0175,XLU US Equity,daily_return
2022-11-17,132.96,XLV US Equity,close
2022-11-17,-0.0005,XLV US Equity,daily_return
2022-11-17,140.8,XLY US Equity,close
2022-11-17,-0.0121,XLY US Equity,daily_return
2022-11-18,79.99,XLB US Equity,close
2022-11-18,0.0067,XLB US Equity,daily_return
2022-11-18,49.53,XLC US Equity,close
2022-11-18,-0.003,XLC US Equity,daily_return
2022-11-18,91.63,XLE US Equity,close
2022-11-18,-0.0079,XLE US Equity,daily_return
2022-11-18,35.37,XLF US Equity,close
2022-11-18,0.0083,XLF US Equity,daily_return
2022-11-18,99.44,XLI US Equity,close
2022-11-18,0.0074,XLI US Equity,daily_return
2022-11-18,132.09,XLK US Equity,close
2022-11-18,0.0011,XLK US Equity,daily_return
2022-11-18,74.68,XLP US Equity,close
2022-11-18,0.0107,XLP US Equity,daily_return
2022-11-18,38.05,XLRE US Equity,close
2022-11-18,0.0128,XLRE US Equity,daily_return
2022-11-18,68.85,XLU US Equity,close
2022-11-18,0.0212,XLU US Equity,daily_return
2022-11-18,134.57,XLV US Equity,close
2022-11-18,0.0121,XLV US Equity,daily_return
2022-11-18,140.99,XLY US Equity,close
2022-11-18,0.0013,XLY US Equity,daily_return
2022-11-21,80.26,XLB US Equity,close
2022-11-21,0.0034,XLB US Equity,daily_return
2022-11-21,49.12,XLC US Equity,close
2022-11-21,-0.0083,XLC US Equity,daily_return
2022-11-21,90.39,XLE US Equity,close
2022-11-21,-0.0135,XLE US Equity,daily_return
2022-11-21,35.48,XLF US Equity,close
2022-11-21,0.0031,XLF US Equity,daily_return
2022-11-21,99.76,XLI US Equity,close
2022-11-21,0.0032,XLI US Equity,daily_return
2022-11-21,130.67,XLK US Equity,close
2022-11-21,-0.0107,XLK US Equity,daily_return
2022-11-21,75.39,XLP US Equity,close
2022-11-21,0.0095,XLP US Equity,daily_return
2022-11-21,38.32,XLRE US Equity,close
2022-11-21,0.0071,XLRE US Equity,daily_return
2022-11-21,69.16,XLU US Equity,close
2022-11-21,0.0045,XLU US Equity,daily_return
2022-11-21,134.63,XLV US Equity,close
2022-11-21,0.0004,XLV US Equity,daily_return
2022-11-21,138.95,XLY US Equity,close
2022-11-21,-0.0145,XLY US Equity,daily_return
2022-11-22,82.08,XLB US Equity,close
2022-11-22,0.0227,XLB US Equity,daily_return
2022-11-22,49.85,XLC US Equity,close
2022-11-22,0.0149,XLC US Equity,daily_return
2022-11-22,93.22,XLE US Equity,close
2022-11-22,0.0313,XLE US Equity,daily_return
2022-11-22,35.84,XLF US Equity,close
2022-11-22,0.0101,XLF US Equity,daily_return
2022-11-22,100.53,XLI US Equity,close
2022-11-22,0.0077,XLI US Equity,daily_return
2022-11-22,133.2,XLK US Equity,close
2022-11-22,0.0194,XLK US Equity,daily_return
2022-11-22,75.94,XLP US Equity,close
2022-11-22,0.0073,XLP US Equity,daily_return
2022-11-22,38.51,XLRE US Equity,close
2022-11-22,0.005,XLRE US Equity,daily_return
2022-11-22,69.75,XLU US Equity,close
2022-11-22,0.0085,XLU US Equity,daily_return
2022-11-22,135.8,XLV US Equity,close
2022-11-22,0.0087,XLV US Equity,daily_return
2022-11-22,140.52,XLY US Equity,close
2022-11-22,0.0113,XLY US Equity,daily_return
2022-11-23,82.4,XLB US Equity,close
2022-11-23,0.0039,XLB US Equity,daily_return
2022-11-23,50.48,XLC US Equity,close
2022-11-23,0.0126,XLC US Equity,daily_return
2022-11-23,92.21,XLE US Equity,close
2022-11-23,-0.0108,XLE US Equity,daily_return
2022-11-23,35.99,XLF US Equity,close
2022-11-23,0.0042,XLF US Equity,daily_return
2022-11-23,100.91,XLI US Equity,close
2022-11-23,0.0038,XLI US Equity,daily_return
2022-11-23,134.38,XLK US Equity,close
2022-11-23,0.0089,XLK US Equity,daily_return
2022-11-23,76.2,XLP US Equity,close
2022-11-23,0.0034,XLP US Equity,daily_return
2022-11-23,38.57,XLRE US Equity,close
2022-11-23,0.0016,XLRE US Equity,daily_return
2022-11-23,70.53,XLU US Equity,close
2022-11-23,0.0112,XLU US Equity,daily_return
2022-11-23,136.34,XLV US Equity,close
2022-11-23,0.004,XLV US Equity,daily_return
2022-11-23,142.55,XLY US Equity,close
2022-11-23,0.0144,XLY US Equity,daily_return
2022-11-25,82.37,XLB US Equity,close
2022-11-25,-0.0004,XLB US Equity,daily_return
2022-11-25,50.2,XLC US Equity,close
2022-11-25,-0.0055,XLC US Equity,daily_return
2022-11-25,91.87,XLE US Equity,close
2022-11-25,-0.0037,XLE US Equity,daily_return
2022-11-25,36.11,XLF US Equity,close
2022-11-25,0.0033,XLF US Equity,daily_return
2022-11-25,101.3,XLI US Equity,close
2022-11-25,0.0039,XLI US Equity,daily_return
2022-11-25,133.6,XLK US Equity,close
2022-11-25,-0.0058,XLK US Equity,daily_return
2022-11-25,76.25,XLP US Equity,close
2022-11-25,0.0007,XLP US Equity,daily_return
2022-11-25,38.8,XLRE US Equity,close
2022-11-25,0.006,XLRE US Equity,daily_return
2022-11-25,70.94,XLU US Equity,close
2022-11-25,0.0058,XLU US Equity,daily_return
2022-11-25,137.15,XLV US Equity,close
2022-11-25,0.0059,XLV US Equity,daily_return
2022-11-25,142.63,XLY US Equity,close
2022-11-25,0.0006,XLY US Equity,daily_return
2022-11-28,80.53,XLB US Equity,close
2022-11-28,-0.0223,XLB US Equity,daily_return
2022-11-28,49.4,XLC US Equity,close
2022-11-28,-0.0159,XLC US Equity,daily_return
2022-11-28,89.35,XLE US Equity,close
2022-11-28,-0.0274,XLE US Equity,daily_return
2022-11-28,35.49,XLF US Equity,close
2022-11-28,-0.0172,XLF US Equity,daily_return
2022-11-28,99.46,XLI US Equity,close
2022-11-28,-0.0182,XLI US Equity,daily_return
2022-11-28,130.74,XLK US Equity,close
2022-11-28,-0.0214,XLK US Equity,daily_return
2022-11-28,75.96,XLP US Equity,close
2022-11-28,-0.0038,XLP US Equity,daily_return
2022-11-28,37.71,XLRE US Equity,close
2022-11-28,-0.0281,XLRE US Equity,daily_return
2022-11-28,70.21,XLU US Equity,close
2022-11-28,-0.0103,XLU US Equity,daily_return
2022-11-28,136.12,XLV US Equity,close
2022-11-28,-0.0075,XLV US Equity,daily_return
2022-11-28,141.75,XLY US Equity,close
2022-11-28,-0.0062,XLY US Equity,daily_return
2022-11-29,80.8,XLB US Equity,close
2022-11-29,0.0034,XLB US Equity,daily_return
2022-11-29,49.42,XLC US Equity,close
2022-11-29,0.0004,XLC US Equity,daily_return
2022-11-29,90.7,XLE US Equity,close
2022-11-29,0.0151,XLE US Equity,daily_return
2022-11-29,35.7,XLF US Equity,close
2022-11-29,0.0059,XLF US Equity,daily_return
2022-11-29,100.07,XLI US Equity,close
2022-11-29,0.0061,XLI US Equity,daily_return
2022-11-29,129.46,XLK US Equity,close
2022-11-29,-0.0098,XLK US Equity,daily_return
2022-11-29,75.67,XLP US Equity,close
2022-11-29,-0.0038,XLP US Equity,daily_return
2022-11-29,38.34,XLRE US Equity,close
2022-11-29,0.0167,XLRE US Equity,daily_return
2022-11-29,69.69,XLU US Equity,close
2022-11-29,-0.0074,XLU US Equity,daily_return
2022-11-29,135.78,XLV US Equity,close
